Date,Pptn_us,PET_us,ET_us,Pptn_us_ds,PET_us_ds,ET_us_ds,Pptn_total,PET_total,ET_total,Q_us,Q_ds,ET_sim,SM_sim,GW_sim,Q_sim
2012-06-29,0.102071297691883,3.790555,2.8109524,5.43840262312678,3.784198,2.6804218,4.51771001797119,3.784198,2.6804218,0.069577351390089,0,2.94391551497438,109.518814309977,160.019389756093,0.739482633364924
2012-06-30,0.609195918114289,3.7607377,2.8142436,1.51459617079185,3.7032123,2.7030075,1.35838485889994,3.7032123,2.7030075,0.020089235260519,0,2.95596498882422,107.754363415399,159.649798655271,0.708575737959086
2012-07-01,2.12911375425456,1.5058314,1.4473307,2.14630074744536,1.546028,1.3934577,2.14333542624226,1.546028,1.3934577,0,0,1.546028,107.986076869599,159.41531029288,0.646546664226483
2012-07-02,2.33644088665805,1.3812336,1.2441632,2.3443517767291,1.5854586,1.3433236,2.34298688832116,1.5854586,1.3433236,0,0,1.5854586,108.325983367727,159.216575740741,0.629602015150031
2012-07-03,0.222888124592906,2.4627233,2.0683446,0.187854937485098,2.462292,1.9957218,0.193899314128033,2.462292,1.9957218,0,0,2.40812748571748,106.111755196137,158.736990783772,0.593526432424481
2012-07-04,0,3.1300187,2.3700373,0.000772467083979,3.166075,2.317695,0.000639191114295,3.166075,2.317695,0,0,2.16960761759515,103.942786769657,158.258850410884,0.542837243012036
2012-07-05,0.075319934563983,4.1825533,3.145607,0.081286129334335,4.035252,3.137655,0.080256764583192,4.035252,3.137655,0,0,2.20489057397685,101.818152960263,157.782150270768,0.513918532692551
2012-07-06,10.8122666761834,2.3504262,2.1491058,6.98659086031198,2.137246,1.9142085,7.64664572277689,2.137246,1.9142085,0,0,2.137246,105.643200705712,158.443952109101,0.618072755793465
2012-07-07,11.3352954505006,1.9309819,1.7453926,12.1304280145627,2.0608566,1.8076094,11.9932415054626,2.0608566,1.8076094,0,0,2.0608566,112.737891627146,159.880344720083,0.880566013776361
2012-07-08,10.2418764986743,3.1528435,2.8233597,7.88707311585559,3.1050205,2.677156,8.29335412321977,3.1050205,2.677156,0,0,3.02176426855938,115.983087483772,160.762617472364,1.05394223648865
2012-07-09,26.6168762438554,2.0343897,1.8300915,16.1852531014688,2.0787237,1.7953452,17.9850510741279,2.0787237,1.7953452,0,0,2.0787237,127.146601437666,163.467624431453,1.29127022939706
2012-07-10,9.19951932443563,2.4302623,2.155449,16.3804346118074,2.281323,1.9503653,15.1414906266217,2.281323,1.9503653,0.097506288215688,0,2.281323,135.691442702337,165.867921707224,1.59416276048616
2012-07-11,1.11664469806161,3.47507,2.901964,0.584401313597593,3.5241227,2.9114604,0.676230796986502,3.5241227,2.9114604,0,0,3.4498203434133,132.91785315591,165.368301867239,1.42326858985617
2012-07-12,0.545920251071911,4.1721053,3.5507128,0.536197486613143,4.051252,3.4258256,0.537874983207625,4.051252,3.4258256,0,0,3.2547712052888,130.200956933829,164.870186959503,1.01461951178895
2012-07-13,0,3.7496717,3.239511,0.807069733970055,3.5776756,3.0585303,0.667823669472947,3.5776756,3.0585303,0,0,3.32918540234672,127.539595200956,164.373572450927,0.785957275635427
2012-07-14,6.60395037774681,2.6509602,2.3125432,19.4709697364169,2.4405859,2.1208735,17.2509858470864,2.4405859,2.1208735,0,0,2.4405859,137.389398752849,167.203313046947,1.01913868546484
2012-07-15,28.0995399220376,1.3835088,1.3437312,26.9636660351766,1.2514439,1.1945862,27.1596416294436,1.2514439,1.1945862,0,0,1.2514439,154.799972120229,172.379220587977,1.77371905051108
2012-07-16,12.177916398205,3.304649,2.8821535,8.60956641927825,3.0183303,2.6038587,9.22522411447068,3.0183303,2.6038587,0,0,3.0183303,157.957379019248,173.887848632366,2.06455468193672
2012-07-17,3.82471591336755,3.3682742,2.9312844,1.04636561724312,3.1625023,2.7549183,1.5257223921886,3.1625023,2.7549183,0,0,3.1625023,156.025492281397,173.560129604652,1.63020258812988
2012-07-18,11.2112167149111,0.88172734,0.85617584,6.70763953225322,1.1185738,1.0187204,7.48465466902884,1.1185738,1.0187204,0,0.174063520580612,1.1185738,159.948514224361,174.661347038654,1.34374130939428
2012-07-19,37.9830561220135,0.84900624,0.81334263,17.9363210901916,0.7608756,0.71394825,21.3950419970742,0.7608756,0.71394825,0,0.113534389577349,0.7608756,172.947760901535,179.204598329414,1.72953138389687
2012-07-20,18.3120852497644,0.7135123,0.71098024,23.2057838294676,0.7174543,0.7076362,22.3614599279138,0.7174543,0.7076362,0,0.070504602313856,0.7174543,186.01656086069,184.336291428014,2.40943116385525
2012-07-21,26.3591561023826,0.5558543,0.5558543,24.920061630091,0.50331247,0.49834323,25.1683527446677,0.50331247,0.49834323,0.229311270778603,0.120635572544212,0.50331247,200.252490707552,190.651105721449,3.01477838522316
