Date,Pptn_us,PET_us,ET_us,Pptn_us_ds,PET_us_ds,ET_us_ds,Pptn_total,PET_total,ET_total,live_St_us,Res_outflow,Q_ds,ET_us_sim,SM_us_sim,GW_us_sim,Ot_sim,St_us_sim,ET_us_ds_sim,SM_us_ds_sim,GW_us_ds_sim,Q_ds_sim
2010-11-27,0,0.9866283,0.2601761,0,0.99811774,0.325366,0,0.9949842,0.30758694,16.84,0,1.38953,0.419125762979257,11.1491798267545,2.98245081257005E-06,0.17536049131611,17.1307026726429,0.353896103240669,9.41400325041141,1.87216573146338E-07,0.175755222903726
2010-11-28,0,1.2087717,0.18199585,0,1.232801,0.2181598,0,1.2262477,0.20829688,16.812,0,1.44613,0.403940617338841,10.7452392094156,2.23771001836051E-06,0.17497339501755,17.115586314605,0.341074262294682,9.07292898811673,1.40467161961903E-07,0.175365201559676
2010-11-29,0,1.3284941,0.19695091,0,1.3795538,0.24104345,0,1.3656285,0.22901821,16.812,0,1.48575,0.389305637468435,10.3559335719472,1.67893670036961E-06,0.174587653356342,17.1005029492164,0.328716963353365,8.74421202476336,1.05391436548775E-07,0.174976929077248
2010-11-30,0,1.1287142,0.31765124,0,1.1570781,0.32009682,0,1.1493427,0.31942984,16.769,0,1.48575,0.375200890574397,9.98073268137282,1.25969335647576E-06,0.17420326262423,17.0854525435164,0.316807375816884,8.42740464894648,7.90743882248223E-08,0.174590304934285
2010-12-01,0,0.98142916,0.35429692,0,0.98250127,0.31654638,0,0.98220885,0.32684195,16.74,0,1.46028,0.361607166038623,9.61912551533419,9.45138284248498E-07,0.173820218422979,17.0704350440087,0.305329278866839,8.12207537007964,5.93289082859796E-08,0.174205252082867
2010-12-02,0,1.1152018,0.16766697,0,1.1172984,0.18734296,0,1.1167266,0.18197678,16.726,0,1.51971,0.348505949253755,9.27061956608044,7.09130021016654E-07,0.1734385158473,17.0554503819284,0.294267039373569,7.82780833070607,4.45140258107143E-08,0.173821711098568
2010-12-03,0,1.166761,0.2094025,0,1.1772571,0.20665264,0,1.1743945,0.2074026,16.711,0,1.53386,0.335879396406343,8.9347401696741,5.32054827412816E-07,0.173058149621831,17.0404984771922,0.283605590603876,7.5442027401022,3.33985328758391E-08,0.17343963579037
2010-12-04,0,1.2272917,0.3661661,0,1.2445096,0.2891774,0,1.2398138,0.31017432,16.697,0,1.52254,0.323710310173632,8.61102985950046,3.99196664904183E-07,0.172679114203712,17.0255792413618,0.27333041170019,7.27087232840201,2.50586635996878E-08,0.173058989906545
2010-12-05,0,0.9574658,0.4461867,0,0.9911416,0.38325754,0,0.9819574,0.40042,16.653,0,1.53103,0.311982116300868,8.2990477431996,2.99514202409404E-07,0.172301403859357,17.0106925798659,0.263427507903203,7.0074448204988,1.88013235113263E-08,0.172679744662902
2010-12-06,0,0.8006342,0.23669547,0,0.85500085,0.24654439,0,0.84017354,0.24385834,16.638,0,1.57631,0.300678841027216,7.99836890217238,2.24723213723425E-07,0.171925012721912,16.9958383936675,0.253883391491061,6.75356142900774,1.41064891338401E-08,0.172301876888062
2010-12-07,0,1.0435776,0.15807939,0,1.0622598,0.17483649,0,1.0571647,0.17026637,16.638,0,1.57631,0.289785089329553,7.70858381284283,1.68608107328264E-07,0.171549934834233,16.9810165805129,0.244685063409126,6.50887636559862,1.05839908325215E-08,0.171925367631729
2010-12-08,0,0.9932007,0.14788365,0,1.0161555,0.16525288,0,1.0098952,0.16051582,16.61,0,1.52537,0.279286023954495,7.42929778888833,1.26505372479266E-07,0.17117616418102,16.9662270358685,0.235819995565311,6.27305637003331,7.94108731662879E-09,0.171550201120352
2010-12-09,0,1.0681161,0.18470968,0,1.0633421,0.24761324,0,1.064644,0.23045772,16.595,0,1.55933,0.269167345210112,7.16013044367822,9.49160127570865E-08,0.17080369471282,16.9514696536231,0.227276113766857,6.04578025626645,5.95813703622598E-09,0.171176363973457
2010-12-10,0,1.062752,0.1555221,0,1.0766226,0.19975804,0,1.0728397,0.18769369,16.58,0,1.56499,0.25941527148979,6.90071517218843,7.12147579280081E-08,0.170432520363949,16.9367443266137,0.219041781275327,5.82673847499112,4.47034461743183E-09,0.170803844615557
2010-12-11,0,1.1339175,0.20774122,0,1.1617754,0.23769464,0,1.1541778,0.22952552,16.551,0,1.59612,0.250016520501735,6.65069865168669,5.34318878282858E-08,0.170062635065846,16.9220509470191,0.211105782957403,5.61563269203372,3.35406535249147E-09,0.170432632834825
2010-12-12,0,0.9385703,0.36525568,0,0.96366906,0.37478295,0,0.9568239,0.37218463,16.521,0,1.56782,0.240958291178532,6.40974036050816,4.00895364943969E-08,0.16969403275701,16.9073894066545,0.203457310009915,5.4121753820238,2.51652956349629E-09,0.170062719451883
2010-12-13,0,0.965921,0.33372864,0,0.9706146,0.3156798,0,0.96933454,0.3206022,16.506,0,1.52537,0.232228246242132,6.17751211426603,3.00788724048184E-08,0.169326707390386,16.8927595971922,0.196085945238285,5.21608943678552,1.88813287112805E-09,0.169694096071208
2010-12-14,0,1.0979916,0.27517983,0,1.1000066,0.20599253,0,1.0994571,0.2248618,16.493,0,1.55933,0.223814495400527,5.9536976188655,2.25679477554398E-08,0.168960652938823,16.8781614103258,0.188981648868345,5.02710778791717,1.41665164230426E-09,0.169326754894544
2010-12-15,0,1.1401362,0.55206114,0,1.1534392,0.2670941,0,1.149811,0.34481242,16.478,0,1.56782,0.215705579153206,5.7379920397123,1.69325584761838E-08,0.168595863399102,16.8635947378927,0.182134744872196,4.84497304304498,1.06290288481888E-09,0.168960688580829
2010-12-16,0,1.1235896,0.39333522,0,1.1445868,0.32838678,0,1.1388602,0.3461,16.448,0,1.58197,0.207890453183358,5.53010158652894,1.27043690306433E-08,0.168232332794887,16.8490594719656,0.175535907789491,4.66943713525549,7.97487899508366E-10,0.168595890141026
2010-12-17,0,0.83210355,0.32021835,0,0.84367746,0.28257135,0,0.84052086,0.2928387,16.433,0,1.54518,0.200358473315545,5.3297431132134,9.53199085027723E-09,0.167870055178872,16.8345555049202,0.169176150026192,4.5002609852293,5.98349067394466E-10,0.168232352859149
2010-12-18,0,0.89445275,0.30470362,0,0.9119873,0.23812614,0,0.90720505,0.25628367,16.42,0,1.59046,0.193099381018376,5.13664373219502,7.15177978147633E-09,0.167509024634322,16.820082729485,0.163046809613492,4.3372141756158,4.48936725776704E-10,0.167870070232934
2010-12-19,0,1.1067952,0.16069558,0,1.1094544,0.1697709,0,1.1087292,0.16729581,16.405,0,1.59046,0.186103289432416,4.9505404427626,5.365925633599E-09,0.167149235276166,16.8056410387783,0.157139538410245,4.18007463720556,3.36833789394441E-10,0.16750903592927
2010-12-20,0,1.2120144,0.2966726,0,1.2171379,0.24918568,0,1.2157407,0.26213667,16.405,0,1.56782,0.179360669904321,4.77117977285828,4.0260129345553E-09,0.166790681251752,16.7912303263349,0.151446290732828,4.02862834647273,2.52723814211294E-10,0.167149243750679
2010-12-21,0,1.1713198,0.45770094,0,1.1857965,0.44716513,0,1.1818482,0.45003855,16.39,0,1.47726,0.172862339008841,4.59831743384944,3.02068669154014E-09,0.166433356741349,16.7768504861258,0.145959312396943,3.88266903407579,1.89616743570557E-10,0.166790687610114
2010-12-22,0,1.1030964,0.43802455,0,1.1352738,0.36845732,0,1.1264981,0.38743022,16.39,0,1.47443,0.166599446041028,4.43171798780841,2.26639810571189E-09,0.166077255958461,16.7625014125715,0.140671130156444,3.74199790391934,1.42267991461391E-10,0.16643336151198
2010-12-23,3.349125623703,0.29194885,0.11908114,3.6015899181366,0.35518724,0.15100291,3.55841112136841,0.3379404,0.14229697,16.362,0,1.50273,0.29194885,7.4880963530221,0.000252099505372,0.165722373149997,16.7481830005521,0.35518724,6.9876846987738,0.000226044846195,0.166077259537828
2010-12-24,17.7180938720703,0.44913054,0.44913054,15.1690921783447,0.4947359,0.4947359,15.6050434112549,0.48229808,0.48229808,16.42,0,1.67253,0.44913054,24.7494397150043,0.002594954044288,0.165368702596345,16.7346344703584,0.4947359,21.6559985599993,0.002077360803988,0.202752118203438
2010-12-25,0,0.9998835,0.91506976,0,1.0343782,0.8784725,0,1.0249707,0.88845354,16.433,0,2.03194,0.896685147483127,23.8527545675212,0.001946974158841,0.165034465787855,16.7275170390243,0.784608156236154,20.8713904037631,0.001558627912065,0.482198397932153
2010-12-26,0,0.78612584,0.71621865,0,0.8047107,0.6481717,0,0.799642,0.66673,16.42,0,2.02062,0.78612584,23.0666287275212,0.001460799810131,0.164859044146337,16.7141501319862,0.756181392301593,20.1152090114615,0.001169426593399,0.20424849994705
2010-12-27,0.018469944596291,0.96837187,0.8868583,0.483668893575668,0.97222877,0.7688309,0.404106795787811,0.97117686,0.8010202,16.405,0,1.89044,0.854185969712468,22.230912702405,0.001096026917249,0.164529895626034,16.700592691149,0.97222877,19.6266491350372,0.000877411822773,0.194281033849747
2010-12-28,5.25474643707275,0.33204582,0.33204582,3.19656801223755,0.33244818,0.32613268,3.54857420921326,0.33233845,0.32774535,16.405,0,1.77441,0.33204582,27.1471657690317,0.002857157104098,0.164196458463515,16.6868997660935,0.33244818,22.4874570019589,0.001703631186646,0.186604989318086
2010-12-29,0,1.3462199,1.271581,0,1.3262397,1.2467166,0,1.3316888,1.253498,16.448,0,1.7263,0.983556016688149,26.1636097523436,0.002143703107835,0.163860101026177,16.6790844090243,0.814732330530195,21.6727246714287,0.001278221440529,0.352108442048633
2010-12-30,0,1.2037524,1.0885706,0,1.2197518,1.1041069,0,1.2153884,1.0998696,16.448,0,1.79139,0.947921267698367,25.2156884846452,0.001608404034888,0.163668307551413,16.6659089880652,0.78521415200279,20.8875105194259,0.000959039763908,0.196019296202843
2010-12-31,0,1.13606,0.9241726,0,1.1883821,0.92543805,0,1.1741124,0.92509294,16.433,0,1.80554,0.913577584305276,24.3021109003399,0.001206773237389,0.163345280009691,16.652520378749,0.756765432524603,20.1307450869013,0.00071956019481,0.187797105560734
2011-01-01,0,0.9176114,0.75209117,0,0.9399157,0.7935766,0,0.93383276,0.7822624,16.405,0,1.77158,0.880478190526942,23.421632709813,0.000905432723924,0.163017417809642,16.6389792027901,0.729347425034839,19.4013976618665,0.000539880506982,0.18144893248533
2011-01-02,0,0.7166726,0.55145675,0,0.77484524,0.6138901,0,0.75898,0.59686285,16.39,0,1.75177,0.7166726,22.704960109813,0.000679339242994,0.162686221478104,16.6253309188581,0.702922786298984,18.6984748755675,0.000405068212391,0.17660044970506
2011-01-03,0,0.82561535,0.37274206,0,0.7071631,0.2889919,0,0.7394682,0.31183288,16.375,0,1.69517,0.822612581905175,21.8823475279078,0.000509703034667,0.162352814312413,16.6116096091248,0.677455526047446,18.02101934952,0.00030391957955,0.172877466350939
2011-01-04,0,0.72044253,0.39673886,0,0.56177837,0.39594352,0,0.60505044,0.39616042,16.375,0,1.6697,0.72044253,21.1619049979078,0.000382426285877,0.162018036838995,16.5978408202596,0.56177837,17.4592409795201,0.000228028534476,0.169999227341386
